ID,Date,Bus Boardings,Rail Boardings,Total Number of Boardings
5906,1/1/17,"277,926","292,472","570,398"
5907,1/2/17,"371,865","314,798","686,663"
5908,1/3/17,"690,503","650,650","1,341,153"
5909,1/4/17,"636,491","639,970","1,276,461"
5910,1/5/17,"611,987","629,939","1,241,926"
5911,1/6/17,"591,800","600,277","1,192,077"
5912,1/7/17,"362,508","319,746","682,254"
5913,1/8/17,"290,096","244,060","534,156"
5914,1/9/17,"781,139","692,776","1,473,915"
5915,1/10/17,"773,792","711,194","1,484,986"
5916,1/11/17,"803,730","714,551","1,518,281"
5917,1/12/17,"777,149","714,212","1,491,361"
5918,1/13/17,"771,359","698,254","1,469,613"
5919,1/14/17,"429,614","363,554","793,168"
5920,1/15/17,"328,355","280,852","609,207"
5921,1/16/17,"486,791","435,039","921,830"
5922,1/17/17,"829,925","737,976","1,567,901"
5923,1/18/17,"835,362","742,180","1,577,542"
5924,1/19/17,"823,901","743,065","1,566,966"
5925,1/20/17,"798,511","731,616","1,530,127"
5926,1/21/17,"488,902","582,031","1,070,933"
5927,1/22/17,"331,138","272,268","603,406"
5928,1/23/17,"817,750","724,078","1,541,828"
5929,1/24/17,"834,979","742,724","1,577,703"
5930,1/25/17,"831,467","743,587","1,575,054"
5931,1/26/17,"823,395","750,472","1,573,867"
5932,1/27/17,"792,183","715,515","1,507,698"
5933,1/28/17,"439,479","382,131","821,610"
5934,1/29/17,"304,565","274,728","579,293"
5935,1/30/17,"806,014","715,290","1,521,304"
5936,1/31/17,"828,074","741,389","1,569,463"
5937,2/1/17,"883,845","750,500","1,634,345"
5938,2/2/17,"829,125","736,551","1,565,676"
5939,2/3/17,"782,899","690,415","1,473,314"
5940,2/4/17,"461,743","370,873","832,616"
5941,2/5/17,"351,708","282,731","634,439"
5942,2/6/17,"838,312","713,858","1,552,170"
5943,2/7/17,"827,885","734,586","1,562,471"
5944,2/8/17,"841,278","737,535","1,578,813"
5945,2/9/17,"815,353","726,872","1,542,225"
5946,2/10/17,"832,724","720,483","1,553,207"
5947,2/11/17,"497,589","405,211","902,800"
5948,2/12/17,"358,101","296,805","654,906"
5949,2/13/17,"822,007","702,129","1,524,136"
5950,2/14/17,"870,130","752,585","1,622,715"
5951,2/15/17,"841,181","735,910","1,577,091"
5952,2/16/17,"831,398","738,525","1,569,923"
5953,2/17/17,"841,425","738,941","1,580,366"
5954,2/18/17,"512,205","447,059","959,264"
5955,2/19/17,"383,581","328,391","711,972"
5956,2/20/17,"623,736","557,822","1,181,558"
5957,2/21/17,"848,951","741,773","1,590,724"
5958,2/22/17,"873,309","758,299","1,631,608"
5959,2/23/17,"850,254","751,257","1,601,511"
5960,2/24/17,"820,536","723,532","1,544,068"
5961,2/25/17,"449,817","374,595","824,412"
5962,2/26/17,"350,829","287,405","638,234"
5963,2/27/17,"837,214","720,932","1,558,146"
5964,2/28/17,"823,654","730,508","1,554,162"
5965,3/1/17,"863,043","742,729","1,605,772"
5966,3/2/17,"842,926","741,459","1,584,385"
5967,3/3/17,"851,128","729,461","1,580,589"
5968,3/4/17,"487,500","401,568","889,068"
5969,3/5/17,"364,977","298,189","663,166"
5970,3/6/17,"823,084","703,811","1,526,895"
5971,3/7/17,"862,784","751,315","1,614,099"
5972,3/8/17,"858,498","751,336","1,609,834"
5973,3/9/17,"841,498","748,709","1,590,207"
5974,3/10/17,"816,750","730,837","1,547,587"
5975,3/11/17,"459,826","493,451","953,277"
5976,3/12/17,"336,952","292,240","629,192"
5977,3/13/17,"761,376","703,982","1,465,358"
5978,3/14/17,"712,423","727,042","1,439,465"
5979,3/15/17,"822,423","748,703","1,571,126"
5980,3/16/17,"827,779","758,060","1,585,839"
5981,3/17/17,"804,320","732,007","1,536,327"
5982,3/18/17,"473,609","404,779","878,388"
5983,3/19/17,"371,042","304,418","675,460"
5984,3/20/17,"802,404","690,624","1,493,028"
5985,3/21/17,"835,641","718,304","1,553,945"
5986,3/22/17,"816,876","706,282","1,523,158"
5987,3/23/17,"802,941","708,026","1,510,967"
5988,3/24/17,"821,828","715,787","1,537,615"
5989,3/25/17,"414,644","356,083","770,727"
5990,3/26/17,"340,733","292,995","633,728"
5991,3/27/17,"825,472","724,012","1,549,484"
5992,3/28/17,"846,658","748,201","1,594,859"
5993,3/29/17,"837,430","745,915","1,583,345"
5994,3/30/17,"756,598","718,864","1,475,462"
5995,3/31/17,"839,312","737,168","1,576,480"
5996,4/1/17,"517,493","433,603","951,096"
5997,4/2/17,"357,643","319,046","676,689"
5998,4/3/17,"840,610","743,301","1,583,911"
5999,4/4/17,"873,844","763,221","1,637,065"
6000,4/5/17,"755,345","732,462","1,487,807"
6001,4/6/17,"822,266","771,468","1,593,734"
6002,4/7/17,"765,361","741,568","1,506,929"
6003,4/8/17,"508,239","452,426","960,665"
6004,4/9/17,"388,435","336,277","724,712"
6005,4/10/17,"695,555","708,408","1,403,963"
6006,4/11/17,"736,309","720,080","1,456,389"
6007,4/12/17,"754,940","757,854","1,512,794"
6008,4/13/17,"723,724","745,720","1,469,444"
6009,4/14/17,"692,506","676,016","1,368,522"
6010,4/15/17,"506,929","453,975","960,904"
6011,4/16/17,"339,738","293,545","633,283"
6012,4/17/17,"809,433","738,426","1,547,859"
6013,4/18/17,"848,195","772,115","1,620,310"
6014,4/19/17,"811,178","757,251","1,568,429"
6015,4/20/17,"797,055","758,119","1,555,174"
6016,4/21/17,"819,393","753,932","1,573,325"
6017,4/22/17,"493,687","467,485","961,172"
6018,4/23/17,"373,492","330,832","704,324"
6019,4/24/17,"830,257","736,639","1,566,896"
6020,4/25/17,"860,569","761,180","1,621,749"
6021,4/26/17,"838,762","757,859","1,596,621"
6022,4/27/17,"807,318","748,983","1,556,301"
6023,4/28/17,"830,500","740,579","1,571,079"
6024,4/29/17,"405,068","364,346","769,414"
6025,4/30/17,"307,608","269,345","576,953"
6026,5/1/17,"847,371","747,837","1,595,208"
6027,5/2/17,"846,717","762,139","1,608,856"
6028,5/3/17,"890,581","778,089","1,668,670"
6029,5/4/17,"836,436","770,199","1,606,635"
6030,5/5/17,"840,819","771,492","1,612,311"
6031,5/6/17,"502,922","460,695","963,617"
6032,5/7/17,"370,985","334,930","705,915"
6033,5/8/17,"829,268","722,987","1,552,255"
6034,5/9/17,"827,183","738,712","1,565,895"
6035,5/10/17,"821,006","736,258","1,557,264"
6036,5/11/17,"832,163","755,558","1,587,721"
6037,5/12/17,"824,305","745,485","1,569,790"
6038,5/13/17,"504,045","427,964","932,009"
6039,5/14/17,"364,734","313,469","678,203"
6040,5/15/17,"805,190","709,882","1,515,072"
6041,5/16/17,"843,103","768,941","1,612,044"
6042,5/17/17,"835,226","763,055","1,598,281"
6043,5/18/17,"824,327","775,776","1,600,103"
6044,5/19/17,"768,158","726,694","1,494,852"
6045,5/20/17,"441,093","396,705","837,798"
6046,5/21/17,"366,609","350,024","716,633"
6047,5/22/17,"817,334","744,257","1,561,591"
6048,5/23/17,"799,986","753,184","1,553,170"
6049,5/24/17,"820,511","762,453","1,582,964"
6050,5/25/17,"829,938","776,776","1,606,714"
6051,5/26/17,"779,960","691,687","1,471,647"
6052,5/27/17,"492,255","462,129","954,384"
6053,5/28/17,"366,179","344,784","710,963"
6054,5/29/17,"375,171","336,441","711,612"
6055,5/30/17,"802,596","722,529","1,525,125"
6056,5/31/17,"827,890","745,189","1,573,079"
6057,6/1/17,"860,327","771,134","1,631,461"
6058,6/2/17,"861,203","796,256","1,657,459"
6059,6/3/17,"523,471","495,282","1,018,753"
6060,6/4/17,"400,326","384,010","784,336"
6061,6/5/17,"838,839","768,461","1,607,300"
6062,6/6/17,"845,564","787,009","1,632,573"
6063,6/7/17,"846,730","793,617","1,640,347"
6064,6/8/17,"821,372","805,398","1,626,770"
6065,6/9/17,"833,135","822,483","1,655,618"
6066,6/10/17,"525,084","558,726","1,083,810"
6067,6/11/17,"406,991","440,096","847,087"
6068,6/12/17,"808,630","753,763","1,562,393"
6069,6/13/17,"817,478","764,155","1,581,633"
6070,6/14/17,"786,388","742,346","1,528,734"
6071,6/15/17,"830,091","777,758","1,607,849"
6072,6/16/17,"785,270","739,069","1,524,339"
6073,6/17/17,"486,358","419,764","906,122"
6074,6/18/17,"390,193","338,474","728,667"
6075,6/19/17,"755,955","739,609","1,495,564"
6076,6/20/17,"801,344","781,004","1,582,348"
6077,6/21/17,"758,596","776,244","1,534,840"
6078,6/22/17,"733,128","745,336","1,478,464"
6079,6/23/17,"729,483","747,333","1,476,816"
6080,6/24/17,"504,647","482,168","986,815"
6081,6/25/17,"390,267","513,970","904,237"
6082,6/26/17,"738,507","722,154","1,460,661"
6083,6/27/17,"763,875","751,340","1,515,215"
6084,6/28/17,"722,682","733,693","1,456,375"
6085,6/29/17,"747,180","778,070","1,525,250"
6086,6/30/17,"763,402","760,380","1,523,782"
6087,7/1/17,"514,092","488,429","1,002,521"
6088,7/2/17,"398,108","364,979","763,087"
6089,7/3/17,"669,915","543,712","1,213,627"
6090,7/4/17,"407,991","389,791","797,782"
6091,7/5/17,"746,019","733,914","1,479,933"
6092,7/6/17,"755,516","784,948","1,540,464"
