Date,Bus Boardings,Rail Boardings,Total Number of Boardings,Bike Rental Date,Total Number of Daily Rides
1/1/17,"277,926","292,472","570,398",1/1/17,1727
1/2/17,"371,865","314,798","686,663",1/2/17,1960
1/3/17,"690,503","650,650","1,341,153",1/3/17,4537
1/4/17,"636,491","639,970","1,276,461",1/4/17,3269
1/5/17,"611,987","629,939","1,241,926",1/5/17,2917
1/6/17,"591,800","600,277","1,192,077",1/6/17,2516
1/7/17,"362,508","319,746","682,254",1/7/17,1330
1/8/17,"290,096","244,060","534,156",1/8/17,1193
1/9/17,"781,139","692,776","1,473,915",1/9/17,3816
1/10/17,"773,792","711,194","1,484,986",1/10/17,3310
1/11/17,"803,730","714,551","1,518,281",1/11/17,3821
1/12/17,"777,149","714,212","1,491,361",1/12/17,3071
1/13/17,"771,359","698,254","1,469,613",1/13/17,3676
1/14/17,"429,614","363,554","793,168",1/14/17,2160
1/15/17,"328,355","280,852","609,207",1/15/17,2195
1/16/17,"486,791","435,039","921,830",1/16/17,1406
1/17/17,"829,925","737,976","1,567,901",1/17/17,4704
1/18/17,"835,362","742,180","1,577,542",1/18/17,5337
1/19/17,"823,901","743,065","1,566,966",1/19/17,4424
1/20/17,"798,511","731,616","1,530,127",1/20/17,4573
1/21/17,"488,902","582,031","1,070,933",1/21/17,7697
1/22/17,"331,138","272,268","603,406",1/22/17,3167
1/23/17,"817,750","724,078","1,541,828",1/23/17,5788
1/24/17,"834,979","742,724","1,577,703",1/24/17,5762
1/25/17,"831,467","743,587","1,575,054",1/25/17,5080
1/26/17,"823,395","750,472","1,573,867",1/26/17,4731
1/27/17,"792,183","715,515","1,507,698",1/27/17,4376
1/28/17,"439,479","382,131","821,610",1/28/17,2214
1/29/17,"304,565","274,728","579,293",1/29/17,1623
1/30/17,"806,014","715,290","1,521,304",1/30/17,4486
1/31/17,"828,074","741,389","1,569,463",1/31/17,5076
2/1/17,"883,845","750,500","1,634,345",2/1/17,5361
2/2/17,"829,125","736,551","1,565,676",2/2/17,4251
2/3/17,"782,899","690,415","1,473,314",2/3/17,4031
2/4/17,"461,743","370,873","832,616",2/4/17,2103
2/5/17,"351,708","282,731","634,439",2/5/17,2817
2/6/17,"838,312","713,858","1,552,170",2/6/17,6063
2/7/17,"827,885","734,586","1,562,471",2/7/17,4736
2/8/17,"841,278","737,535","1,578,813",2/8/17,5043
2/9/17,"815,353","726,872","1,542,225",2/9/17,4127
2/10/17,"832,724","720,483","1,553,207",2/10/17,4722
2/11/17,"497,589","405,211","902,800",2/11/17,4023
2/12/17,"358,101","296,805","654,906",2/12/17,3325
2/13/17,"822,007","702,129","1,524,136",2/13/17,6095
2/14/17,"870,130","752,585","1,622,715",2/14/17,6740
2/15/17,"841,181","735,910","1,577,091",2/15/17,5527
2/16/17,"831,398","738,525","1,569,923",2/16/17,5582
2/17/17,"841,425","738,941","1,580,366",2/17/17,9042
2/18/17,"512,205","447,059","959,264",2/18/17,13481
2/19/17,"383,581","328,391","711,972",2/19/17,11604
2/20/17,"623,736","557,822","1,181,558",2/20/17,9763
2/21/17,"848,951","741,773","1,590,724",2/21/17,8267
2/22/17,"873,309","758,299","1,631,608",2/22/17,10448
2/23/17,"850,254","751,257","1,601,511",2/23/17,5926
2/24/17,"820,536","723,532","1,544,068",2/24/17,5099
2/25/17,"449,817","374,595","824,412",2/25/17,1944
2/26/17,"350,829","287,405","638,234",2/26/17,3223
2/27/17,"837,214","720,932","1,558,146",2/27/17,7187
2/28/17,"823,654","730,508","1,554,162",2/28/17,5813
3/1/17,"863,043","742,729","1,605,772",3/1/17,4456
3/2/17,"842,926","741,459","1,584,385",3/2/17,5258
3/3/17,"851,128","729,461","1,580,589",3/3/17,5156
3/4/17,"487,500","401,568","889,068",3/4/17,3141
3/5/17,"364,977","298,189","663,166",3/5/17,4836
3/6/17,"823,084","703,811","1,526,895",3/6/17,7121
3/7/17,"862,784","751,315","1,614,099",3/7/17,7855
3/8/17,"858,498","751,336","1,609,834",3/8/17,6622
3/9/17,"841,498","748,709","1,590,207",3/9/17,6320
3/10/17,"816,750","730,837","1,547,587",3/10/17,5192
3/11/17,"459,826","493,451","953,277",3/11/17,2352
3/12/17,"336,952","292,240","629,192",3/12/17,2375
3/13/17,"761,376","703,982","1,465,358",3/13/17,2535
3/14/17,"712,423","727,042","1,439,465",3/14/17,1746
3/15/17,"822,423","748,703","1,571,126",3/15/17,3598
3/16/17,"827,779","758,060","1,585,839",3/16/17,4989
3/17/17,"804,320","732,007","1,536,327",3/17/17,4819
3/18/17,"473,609","404,779","878,388",3/18/17,3577
3/19/17,"371,042","304,418","675,460",3/19/17,4483
3/20/17,"802,404","690,624","1,493,028",3/20/17,6533
3/21/17,"835,641","718,304","1,553,945",3/21/17,6920
3/22/17,"816,876","706,282","1,523,158",3/22/17,5512
3/23/17,"802,941","708,026","1,510,967",3/23/17,6127
3/24/17,"821,828","715,787","1,537,615",3/24/17,10105
3/25/17,"414,644","356,083","770,727",3/25/17,1675
3/26/17,"340,733","292,995","633,728",3/26/17,3463
3/27/17,"825,472","724,012","1,549,484",3/27/17,5846
3/28/17,"846,658","748,201","1,594,859",3/28/17,6608
3/29/17,"837,430","745,915","1,583,345",3/29/17,5876
3/30/17,"756,598","718,864","1,475,462",3/30/17,3195
3/31/17,"839,312","737,168","1,576,480",3/31/17,5115
1/1/18,"199,845","195,520","395,365",1/1/18,376
1/2/18,"507,648","514,174","1,021,822",1/2/18,1637
1/3/18,"598,578","587,740","1,186,318",1/3/18,2493
